---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : ON
 TX depth        : 128
 CQ Moderation   : 100
 Mtu             : 4096[B]
 Link type       : IB
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0x6a QPN 0x0a21 PSN 0x9ff678 OUT 0x10 RKey 0x240100 VAddr 0x0014c158bef000
 remote address: LID 0x58 QPN 0x2a86 PSN 0x870ac OUT 0x10 RKey 0x004f00 VAddr 0x00146ab91cb000
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.081843            0.080278            5.017392
 4          1000             0.16               0.16   		   5.137809
 8          1000             0.33               0.33   		   5.153440
 16         1000             0.65               0.64   		   5.018066
 32         1000             1.32               1.32   		   5.151216
 64         1000             2.64               2.64   		   5.153375
 128        1000             5.26               5.26   		   5.134559
 256        1000             10.56              10.53  		   5.141725
 512        1000             20.69              20.52  		   5.009406
 1024       1000             42.12              42.05  		   5.132881
 2048       1000             60.68              60.57  		   3.697122
 4096       1000             73.14              73.09  		   2.230437
 8192       1000             96.38              96.34  		   1.469973
 16384      1000             103.61             103.58 		   0.790274
 32768      1000             107.28             107.26 		   0.409175
 65536      1000             103.13             103.10 		   0.196643
 131072     1000             103.17             103.17 		   0.098386
 262144     1000             103.23             103.22 		   0.049217
 524288     1000             103.09             103.03 		   0.024564
 1048576    1000             103.03             103.02 		   0.012281
 2097152    1000             100.83             100.83 		   0.006010
 4194304    1000             100.26             100.26 		   0.002988
 8388608    1000             100.21             100.21 		   0.001493
---------------------------------------------------------------------------------------
