---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : IB
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0x6a QPN 0x0a20 PSN 0x4974d2 OUT 0x10 RKey 0x240100 VAddr 0x00151b24f1d000
 remote address: LID 0x58 QPN 0x2a85 PSN 0xce22db OUT 0x10 RKey 0x004f00 VAddr 0x00152307d32000
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          1.97           5.87         2.01     	       2.02        	0.10   		2.32    		5.87   
 4       1000          1.97           3.66         2.00     	       2.02        	0.00   		2.27    		3.66   
 8       1000          1.97           3.68         2.00     	       2.01        	0.00   		2.31    		3.68   
 16      1000          1.97           4.86         2.01     	       2.02        	0.00   		2.27    		4.86   
 32      1000          1.97           4.76         2.01     	       2.03        	0.00   		2.32    		4.76   
 64      1000          1.98           4.13         2.02     	       2.04        	0.00   		2.33    		4.13   
 128     1000          2.02           4.61         2.07     	       2.08        	0.00   		2.35    		4.61   
 256     1000          2.06           3.59         2.11     	       2.13        	0.00   		2.30    		3.59   
 512     1000          2.10           3.48         2.14     	       2.16        	0.00   		2.43    		3.48   
 1024    1000          2.18           3.42         2.22     	       2.23        	0.03   		2.35    		3.42   
 2048    1000          2.39           6.63         2.48     	       2.52        	0.00   		2.76    		6.63   
 4096    1000          2.84           5.79         2.94     	       2.95        	0.00   		3.23    		5.79   
 8192    1000          3.52           4.40         3.69     	       3.71        	0.00   		3.97    		4.40   
 16384   1000          4.75           8.09         5.02     	       5.05        	0.07   		5.50    		8.09   
 32768   1000          6.51           10.14        6.88     	       6.90        	0.04   		7.34    		10.14  
 65536   1000          8.86           11.59        9.21     	       9.24        	0.04   		9.72    		11.59  
 131072  1000          13.47          14.44        13.85    	       13.88       	0.00   		14.36   		14.44  
 262144  1000          22.60          24.51        23.19    	       23.21       	0.05   		23.92   		24.51  
 524288  1000          42.97          45.99        43.66    	       43.68       	0.06   		44.44   		45.99  
 1048576 1000          83.48          86.56        84.57    	       84.58       	0.10   		85.51   		86.56  
 2097152 1000          167.24         171.59       169.83   	       169.79      	0.39   		171.24  		171.59 
 4194304 1000          334.81         339.38       337.61   	       337.59      	0.39   		339.13  		339.38 
 8388608 1000          670.44         675.45       673.10   	       673.11      	0.52   		675.13  		675.45 
---------------------------------------------------------------------------------------
